新ID,,,,ENE,,,正例,負例,代表的な定義語,普通名詞フラグ,ENE英語表記,定義文,Definition,属性定義の有無,,注意事項用メモ,
1,5,3,0,,地形名,地形名＿その他,"アルタミラ洞窟,  野島断層,  秋芳洞,  阿波の土柱,  利根川構造線,  白保サンゴ礁,  アパラチア造山帯,  琉球火山帯

ヨルダン地溝帯,  ロス棚氷,  ファンガタウファ環礁,  フィリピン海プレート,  白糸の滝,  大和雪原

グランド・キャ二オン,  甲府盆地,  関東平野,  エトシャ低地,  アガラス岬,  エアーズ・ロック,  千畳敷カール,  千畳敷,  大西洋中央海嶺","飛騨高地(→ 山地名),  白馬温泉(→ 温泉名),  マゼラン海峡(→ 海洋名),  安芸灘(→ 海洋名) ","滝,  岬,  半島, 渓谷,  海岸,  環礁,  盆地,  渓谷,  平野,  砂漠,  鍾乳洞,  地層,  プレート,  湧き水",,Geological_Region_Other,"地形名のうち、その下位のクラスに属さないもの。 
例えば、半島、平野、断層、鍾乳洞など。","A name of a geological region (1.5.3 Geological_Region) that does not belong to any of the other subordinate categories (1.5.3.1 - 1.5.3.7).
Examples are a peninsula, plain, geologic fault, stalactite cave, etc. ",1,,,
1,5,3,1,,,温泉名,"月ヶ瀬温泉,　遠刈田温泉, 　白馬温泉, 　福地温泉, 　湯の山温泉,  十和田湖温泉郷",,"温泉,  温泉郷,  野湯,  冷泉,  鉱泉",,Spa,"温泉の名前。
温泉施設が密集している地域を含む。","A name of a hot spring or spa.
This includes an area crowded with hot spring facilities.",1,,,
1,5,3,2,,,山地名,"富士山,  間ノ岳,  青崩峠,  中央アルプス,  木曽駒ケ岳,  飛騨高地","アパラチア造山帯（→地形名＿その他）, 琉球火山帯（→地形名＿その他）, ヨルダン地溝帯（→地形名＿その他）
","山,  峠,  火山,  山脈,  山地,  高原,  最高峰,  丘",,Mountain,"山の名前。 
山脈、山地、丘陵、高原、砂丘、峠、高地等を含む。","A name of a mountain, a group of mountains, or any hill. 
This includes a mountain range, hügelland, dune, highland, or mountain pass. ",1,,,
1,5,3,3,,,島名,"ラクシャドウィープ諸島,  友ヶ島,  大スンダ列島,  西表島,  沖縄諸島",,"島,  諸島,  島嶼,  火山島,  列島,  中州",,Island,"島の名前。
諸島、列島、群島等を含む。",A name of an island or a group of islands.,1,,,
1,5,3,4,,,河川名,"早出川,  アーレ川,  マージー川,  千種川,  ダニューブ川, 黄河、利根川,  揚子江","白糸の滝(→地形名＿その他), ナイアガラ瀑布(→地形名＿その他), 三途の川(→地名＿その他)

スエズ運河(→ 運河名),  玉川上水(→ 運河名)

鰍沢河岸(→ 地形名＿その他および遺跡名＿その他)","河川,  川,  支流,  本流,  氷河,  源流",,River,"川の名前。
用水路や運河等の施設は含まない。
河岸等の陸地部分は含まない。","A name of a river. 
An artificial facility such as a canal is not included here, but in 1.6.6.4 Canal Category.
A riverside area is also not included here but in 1.5.3.0 Geological_Region_Other Category, for it refers to the land area.",1,,,
1,5,3,5,,,湖沼名,"大浪池,  グレート湖,  シルヤン湖,  丸沼,  サロマ湖
琵琶湖,  印旛沼,  富士五湖,  五大湖","琵琶湖畔（→地形名＿その他）
赤倉温泉(→温泉名)
小瀬川ダム(→ ダム名)
アッタバード湖(→ ダム名)","湖,  池,  沼,
人造湖,  カルデラ湖,  潟湖,  貯水池",,Lake,"湖沼の名前。
湖 、沼、池、泉等を含む。
ダム等の施設は含まない。
湖畔等の陸地部分は含まない。","A name of a lake, marsh or pond. 
An artificial facility such as a dam is not included here, but in 1.6.2 Dam Category.
A lakeside area is also not included here but in 1.5.3.0 Geological_Region_Other Category, for it refers to the land area. ",1,,,
1,5,3,6,,,海洋名,"日本海,  マゼラン海峡,  安芸灘,  太平洋,  紅海,  壱岐水道,  硫黄島沖,  南海,  伊豆東方沖, バルト海,  周防灘,  関門海峡,  ホルムズ海峡, ビーグル水道",七里ガ浜（→地形名＿その他）,"海峡,  海,  水道,  内海,  海域,  海洋",,Sea,"海、海洋の名前。
海峡、海門、沖等を含む。
浜・海岸などの陸地部分は含まない。","A name of a sea, an ocean, or a part of it.
This includes a strait, or an offshore area. 
A shore or beach is not included here but in 1.5.3.0 Geological_Region_Other Category, for it refers to the land area.",1,,,
1,5,3,7,,,湾名,"シェレホフ湾,  浦戸湾,  九十九湾,  ピョートル大帝湾,  ベンガル湾",東京湾岸（→地形名＿その他）,"湾,  入り江,  海域,  フィヨルド,  支湾",,Bay,"湾の名前。
湾岸などの陸地部分は含まない。","A name of a bay, or gulf. 
A bay or gulf coast area is not included here but in 1.5.3.0 Geological_Region_Other Category, for it refers to the land area.",1,,,
1,5,4,,,天体名,,,,,,Astronomical_Object,宇宙に存在する星などの名前。,A name of an astronomical object that exists in the universe.,,,,
1,5,4,0,,天体名,天体名＿その他,"太陽系
うしかい座ボイド,  CID-42","  

宇宙(→ ＣＯＮＣＥＰＴ),  流れ星(→ ＣＯＮＣＥＰＴ)

スプートニク(→ 宇宙船名)","クエーサー,  天体,  超新星
ガンマ線バースト,  超新星残骸,  ブラックホール",,Astronomical_Object_Other,"天体名のうち、その下位のクラスに属さないもの。
人工衛星は含まない。","A name of an astronomical object (1.5.4 Astronomical_Object) that does not belong to any of the other subordinate categories (1.5.4.1 - 1.5.4.5).
An artificial satellite is not included here but in 1.7.18.5 Spaceship Category.",1,,,
1,5,4,1,,,天体部分名,"ヘルツシュプルング (クレーター),  キンセイ峡谷,  冬の湖",,"クレーター,  海,  地名",,Astronomical_Object_Part,"天体の部分の名前。
例えば、クレーター、山など。","A name of a part of an astronomical object. 
Examples are a crater or mons. ",1,,,
1,5,4,2,,,銀河名,"銀河系,  三裂星雲,  馬頭星雲,  獅子座流星群
アンドロメダ銀河,  さんかく座銀河,  オリオン大星雲,  大マゼラン雲", 流れ星(→ ＣＯＮＣＥＰＴ),"銀河,  星団,  星雲",,Galaxy,星雲、銀河の名前。,"A name of a galaxy, or nebula. ",1,,,
1,5,4,3,,,恒星名,"アケルナル,  ウォルフ‐ライエ星,  カノープス,  ベガ,  レグルス
シリウス,  北極星,  べガ、リゲル,  アルニラム,  太陽",,"恒星,  Ｘ等星,  矮星,  連星",,Star,恒星の名前。,A name of a star except the Sun.,1,,,
1,5,4,4,,,惑星＿衛星名,"木星,  土星,  海王星,  ベスタ,  イカルス
地球,  月,  宵の明星,  冥王星
ガリレオ衛星,  カロン,  1811年の大彗星,  バーナード・ボアッティーニ彗星,  池谷・関彗星 (C/1965 S1),  ハリー彗星,  エンケ彗星,  本田彗星", 太陽(→ 恒星名),"小惑星,  衛星,  彗星,  流星,  流星群,  太陽系外縁天体,  惑星,  天体",,Planet_Satellite,"太陽系内外の惑星、衛星の名前。
小惑星、彗星を含む。","A name of a planet or asteroid in the Solar System. 
This includes a minor planet or coment. ",1,,,
1,5,4,5,,,星座名,"いて座,  エリダヌス座,  きりん座,  こと座,  ほうおう座、翼宿",,"星座,  第Ｘ宿",,Constellation,星座の名前。,"A name of a constellation, which is a group of stars that forms an imaginary outline or pattern on the celestial sphere.",1,,,
1,5,5,,,アドレス,,,,,,Address,住所・アドレス。,An address.,,,,
1,5,5,0,,アドレス,アドレス＿その他,,,,,Address_Other,アドレスのうち、その下位クラスに属さないもの。,An address (1.5.5 Address) that does not belong to the other subordinate category (1.5.5.1 Postal_Address).,,,,
1,5,5,1,,,郵便住所,"東京都目黒区大岡山２−１２−１,  １２３−００４５,  富士見町３−２","東京都(→都道府県州郡名), 　目黒区(→ 市区町村名）,  大岡山(→ 市区町村名)",住所,,Postal_Address,郵便用の住所。番地以下の記載があるもの。郵便番号のみを含む。,"A postal address that includes mention of a lot number, street number, or a house number. 
This includes a zip code itself.",,,,
1,6,,,施設名,,,,,,,Facility,建物や場所としての属性を持つ施設の名前。,A name of a place or building that provides a particular service.,,,,
1,6,0,,施設名,施設名＿その他,,"
エンパイヤステートビル,   スーパーカミオカンデ,   足尾銅山(→施設名＿その他および遺跡名＿その他),  桂川水門

大型ハドロン衝突型加速器,   検察庁舎,   神戸本社ビル,   第二サティアン,      東京タワー

阪神大震災被災者用仮設住宅,   南いわき幹線（送電線）

幕張メッセ、東京都庁舎","  

柏崎刈羽原子力発電所（→ 発電所名）,   サンシャインシティー（→ 商業施設名）","ビル,  建築,  マンション,  広場,  建物,  施設

中継局,  宿場,  歴史的建造,  灯台,  鉱山,  送信所,  陣屋,  塔,  関所,  民家,  邸宅,  浄水場",,Facility_Other,施設名のうち、その下位クラスに属さないもの。,A name of a facility (1.6 Facility) that does not belong to any of the other subordinate categories (1.6.1 - 1.6.6).,1,,,
1,6,1,,,施設部分名,,"１２０４号室,   華の間,   ハチ公口,   第一滑走路

シルバークロス（ホテル内の結婚式用チャペル）,   数学Ｂ棟

中突堤（波止場の名前）,   ぷかりさん橋（ターミナルの名前）

トゥーン・タウン, スプラッシュマウンテン","台所(→ ＣＯＮＣＥＰＴ),   玄関(→ ＣＯＮＣＥＰＴ),   滑走路(→ ＣＯＮＣＥＰＴ),   体育館(→ ＣＯＮＣＥＰＴ),   本館(→ ＣＯＮＣＥＰＴ),   別館(→ ＣＯＮＣＥＰＴ)","アトラクション,  テーマランド,  観覧車,  テーマポート",,Facility_Part,"施設の部分の名前。
例えば、ビルの階、ホテルの部屋、駅の出口、波止場、遊園地のアトラクションなど。","A name of a part of a facility.
Examples are a floor of a building, a room of a hotel, an exit of a station, a dockside of a port, an attraction of an amusement park, etc.",1,,,
1,6,2,,,ダム名,,"八ッ場ダム, 黒部ダム, ロスダム、アッタバード湖（ダム湖）",,"ダム,  堰,  ダム湖",,Dam,発電、貯水等の目的で水を堰き止めるための施設の名前。,"A name of a dam, which is a barrier that stops or restricts the flow of water or underground streams for the purpose of storing water, generating electricity, etc.",1,,,
1,6,3,,,遺跡名,,,,,,Archaeological_Place,遺構もしくは遺物があるところの名前。,A name of an archaeological site.,,,,
1,6,3,0,,遺跡名,遺跡名＿その他,"トゥルカナ遺跡,   犬伏瓦経塚,   貔子窩,   高根木戸遺跡群,   鬼ノ城遺跡,   伊良湖東大寺瓦窯址
熊本城(→ 城名および遺跡名＿その他),   大阪城(→ 城名および遺跡名＿その他),   サン・ジョルジェ城(→ 城名および遺跡名＿その他),   セントルイス砦(→ 城名および遺跡名＿その他),   五稜郭(→ 城名および遺跡名＿その他)",ヴェルサイユ宮殿(→ 宮殿名),"遺跡,  世界遺産,  跡,  史跡

城,  貝塚",,Archaeological_Place_Other,"遺跡名のうち、その下位クラスに属さないもの。
例えば、遺跡、遺跡群、跡地、城址など。","A name of an archaeological site (1.6.3 Archaeological_Place) that does not belong to the other subordinate category (1.6.3.1 Cemetery). 
Examples are historic remains, castle ruins, or remained sites.",1,,,
1,6,3,1,,,墳墓名,"那須八幡塚古墳,  岩戸山古墳, 青山霊園,  チブサン古墳,  昭陵, タージマハル",前方後円墳(→ ＣＯＮＣＥＰＴ),"古墳,  前方後円墳,  墓地,  墓,  霊廟,  霊園",,Cemetery,"墓の名前。
古墳から新しい墓までのすべてを含む。","A name of a grave or tomb. 
This includes ancient ones as well as new ones.",1,,,
1,6,4,,,ＦＯＥ,,,,,,FOE,建物や場所としての属性の他に組織名としての属性も持つ施設の名前。主体となって発言するような施設の名前（例：ホワイトハウスが発表した）。,A name of a place or building which is at the same time recognized and have a voice as an organization (e.g. the White House). FOE stands for Facility and Organizational Entity.,,,,
1,6,4,0,,ＦＯＥ,ＦＯＥ＿その他,"ホワイトハウス,     議員会館,   国会記者会館, 

赤坂離宮（迎賓館）,   迎賓館,   首相官邸,   池坊会館

朝日アートセンター,   京都府赤十字血液センター,   函館五稜郭斎場,   湯布院ワイナリー,   ライフケア松戸会堂

大宮典礼会館

千里会館,   和歌山祭典鳴神斎場,   辻堂海水浴場","本社(→ ＣＯＮＣＥＰＴ),   支店(→ ＣＯＮＣＥＰＴ)","施設
郵便局,  営業所,  海水浴場,  刑務所,  牧場,  観光施設",,FOE_Other,ＦＯＥのうち、その下位のクラスに属さないもの。,A name of an organizational facility (1.6.4 FOE) that does not belong to any of the other subordinate categories (1.6.4.1 - 1.6.4.18).,1,,,
1,6,4,1,,,軍事基地名,"横田基地, アンドルーズ空軍基地, 網走分屯基地
普天間飛行場(→ 軍事基地名および空港名)","防衛大学校(→ 学校名)
","基地,  駐屯地,  分屯基地,  演習場",,Military_Base,軍隊の活動拠点となる施設の名前。,"A name of a military base, which is a facility directly owned and operated by or for the military.",1,,,
1,6,4,2,,,城名,"ノイシュヴァンシュタイン城,   渟足柵,   熊本城(→ 城名および遺跡名＿その他),   大阪城(→ 城名および遺跡名＿その他),   サン・ジョルジェ城(→ 城名および遺跡名＿その他),   セントルイス砦(→ 城名および遺跡名＿その他),   五稜郭(→ 城名および遺跡名＿その他)",,"城,  要塞,  城跡,  跡,  城郭,  城塞",,Castle,防備のための施設の名前。,"A name of a castle, which is a building fortified against attack.",1,,,
1,6,4,3,,,宮殿名,"ヴェルサイユ宮殿, バッキンガム宮殿,   クレムリン,  アボメイの王宮群(→ 宮殿名および遺跡名＿その他),  東宮御所",赤坂離宮(迎賓館→FOE＿その他),"宮殿,  離宮,  宮殿跡,  王宮,  御用邸,  邸宅,  宮",,Palace,"王族、皇族、君主、教皇の居住施設の名前。
御用邸、離宮等の別荘を含む。","A name of a palace, which is a grand residence, especially a royal residence, or the home of a head of state or some other high-ranking dignitary, such as a bishop or archbishop. ",1,,,
1,6,4,4,,,公共機関名,"東京家庭裁判所,   高槻市役所,   都立大学駅前交番,    県警駒ヶ根署

花見川図書館,   国立公文書館,   芦屋保健所,   県立総合教育センター,   文京区民センター,   国会図書館,   ベルギー大使館

神戸市児童相談所,   兵庫県立女性センター,   東京都府中市生涯学習センター

フランス大使館・領事館,   フランス総領事館","
県警(→ ＣＯＮＣＥＰＴ),   市役所(→ ＣＯＮＣＥＰＴ)

長野県警（→政府組織名）

最高裁判所（→政府組織名）

三康図書館(私立図書館→ ＦＯＥ＿その他)

大阪税関（→政府組織名）
","施設,  公共施設,  複合施設

警察署,  公立図書館,  役所,  消防署,  簡易裁判所,  運転免許試験場,  大使館",,Public_Institution,"建造物、場所としての属性がある公共機関の名前。
例えば、役所、交番、裁判所、公民館など。","A name of a public facility and organization. 
Examples are a public office, police box, post office, courthouse, and public center.",1,,,
1,6,4,5,,,宿泊施設名,"帝国ホテル, 翠松園, ザ・リッツ・カールトン大阪",リッツ・カールトン(→ ブランド名),"ホテル,  宿泊施設,  旅館,  リゾート施設",,Accommodation,"人が泊まるための施設の名前。
ホテル、旅館、ペンション、ユースホテルなど。","A name of a lodging or holiday accommodation facility. 
Examples are a hotel, motel, inn, pension, or a youth hostel.",1,,,
1,6,4,6,,,医療機関名,"さくらクリニック, 国立がん研究センター(→医療機関名および研究機関名), 田園調布中央病院, 新潟大医学部付属病院",国立感染症研究所(→ 研究機関名),"医療機関,  病院,  ",,Medical_Institution,医療を提供する施設の名前。,A name of a medical institution. ,1,,医療研究所で医療を提供しているものは、医療機関名と研究機関名の両方でタグ付け。,
1,6,4,7,,,学校名,"プリンストン大学,  ローマ大学,  香川医科大学,  京都大学,  東大,  滋賀文化短大,  國學院大學北海道短期大学部

新宿高校,   目黒十中,  大阪市立大領小学校,   勧学院,   内原訓練所,  東京アカデミー,   ねむの木学園,  くじら保育園

山田進学塾,   NOVA外語学院","  

国立大学(→ ＣＯＮＣＥＰＴ),   私立高校(→ ＣＯＮＣＥＰＴ),   日本語学校(→ ＣＯＮＣＥＰＴ)

東京大学大学院医学系研究科・医学部(→ 組織名＿その他)","小学校,  中学校,  高等学校,  大学,  学校法人,  専門学校,  特別支援学校,  幼稚園,  教育機関,  学校",,School,"学校の名前。
例えば、幼稚園、保育園、予備校、訓練所、養成所、塾など。","A name of a school. 
This includes a kindergarten, cram school, or vocational school.",1,,,
1,6,4,8,,,研究機関名,"ストックホルム国際平和研究所,  グリニッジ天文台,  種子島宇宙センター, 国立がん研究センター(→医療機関名および研究機関名),  地球産業文化研究所","ローマクラブ(シンクタンク → 非営利団体名), 社会安全研究所 (シンクタンク → 企業名)","研究所,  研究機関,  天文台,  研究拠点, シンクタンク,  研究施設",,Research_Institute,"研究機関の名前。
例えば、研究所や天文台など。","A name of a research institute, or other related facility such as an astronomical observatory.",1,,,
1,6,4,9,,,取引所名,"東京証券取引所,   関西商品取引所,   神戸生糸取引所,   三品取引所","フリーマーケット(→ ＣＯＮＣＥＰＴ),   生花市場(→ ＣＯＮＣＥＰＴ)

入谷朝顔市（→催し物名＿その他）","取引所,  株式市場,  金融市場",,Market,"常設の取引所・市場の名前。
例えば、証券取引所、商品取引所など。","A name of a exchange or market, such as a stock exchange or commodity exchange.",1,,,
1,6,4,10,,,発電所名,"柏崎刈羽原子力発電所, 田子倉発電所, 松川地熱発電所, グラブリーヌ原子力発電所",,"発電所,  廃炉",,Power_Plant,発電のための施設の名前。,A name of a power plant.,1,,,
1,6,4,11,,,公園名,"ザイオン国立公園,  旧円覚寺庭園,  小石川後楽園, 
セントラルパーク,   代々木公園,   区立平野さくら公園,   モナス公園,   兼六園,   京都御苑,   ウイズリーガーデン",,"公園,  運動公園,  自然公園,  庭園",,Park,公園、庭園の名前。,A name of a park or garden.,1,,,
1,6,4,12,,,商業施設名,"御殿場プレミアム・アウトレット, ラゾーナ川崎プラザ, ららぽーと湘南平塚, イオンタウン名西,  玉川高島屋,   鷹取商店街,   サンシャインシティー

衆議院本館理髪店, セブンイレブン中央区役所前,   佐々木クリーニング,  築地魚市場",,"ショッピングセンター,  商業施設,  百貨店, 商店街,  ショッピングモール,  地下街, ファッションビル,  アウトレットモール",,Shopping_Complex,"個人商店の名前及び複数の店舗が集まった施設の名前。
例えば、デパートなどのショッピングセンターなど。
映画館、レストラン、ゲームセンター併設の複合商業施設や地下街、商店街を含む。","A name of a shop, or a complex of shops including a department store. 
This includes a commercial complex which has entertainment venues such as movie theaters, restaurants or game centers, a neighborhood center, underground shopping archade, or a commercial district.",1,,,
1,6,4,13,,,競技施設名,"東京ドーム,   花園ラグビー場,   武道舘,   両国国技館,   千葉ポートアリーナ,   伊勢カントリークラブ,   鳥羽CC

千葉ポートアリーナ,   府中競馬場,   日本武道館",,"野球場,  スタジアム,  スキー場,  競技場,  球技場,  ゴルフ場,  スポーツ施設,  運動公園",,Sports_Facility,"スポーツ施設の名前。
例えば、野球場、ラグビー場、陸上競技場、武道場など。","A name of a sport-related facility.
Examples are an athletics ground, a stadium, a baseball park,　a martial art gym, etc.",1,,,
1,6,4,14,,,美術博物館名,"ルーブル美術館,  ボストン美術館,  東京国立博物館,  日本民俗資料館, 
東京国立美術館,   大英博物館,   石川啄木記念館,   ナショナルギャラリー,   江戸東京博物館,   都現代美術館

近鉄アート館,   ブリュッセル王立美術歴史博物館,   エル・ムゼオ・デル・バリオ,   ルーブル,   エルミタージュ,   MoMA

広島平和記念資料館,   茨城県立歴史館,   神奈川近代文学館, 若州一滴文庫",ギャラリーやまね（→ＦＯＥ＿その他),"博物館,  美術館,  資料館,  科学館,  施設,  記念館,  文学館,  展示施設,  文化施設",,Museum,"美術館や博物館の名前。
記念館を含む。","A name of a museum. 
This includes a memorial. ",1,,,
1,6,4,15,,,動植物園名,"上野動物園,   ヒールズビル野生動物公園,   ベルリン動物園,   ニューヨーク動物公園,   広島市安佐動物公園",,"動物園,  植物園,  水族館,  牧場,  施設,  テーマパーク,  サファリパーク,  庭園,  バラ園",,Zoo,動物園、植物園、水族館などの名前。,"A name of a zoo, botanic garden, or aquarium.",1,,,
1,6,4,16,,,遊園施設名,"東京ディズニーランド,  こどもの国,  ユネスコ村, ＵＳＪ,   後楽園ゆうえんち,   東京ドイツ村","兼六園（→公園名）

トゥーンタウン（遊園施設内のエリア名→施設部分名）

ＦＵＪＩＹＡＭＡ（遊園施設内のアトラクション名→施設部分名）

ヴィラズ アット アヤナ リゾート(リゾートホテル → 宿泊施設名) ","遊園地,  テーマパーク,  レジャー施設,  娯楽施設",,Amusement_Park,"遊園施設の名前。
テーマパークを含む。","A name of an amusement park, or theme park.",1,,,
1,6,4,17,,,劇場名,"明治座,  ボリショイ劇場,  パリ・オペラ座,  メトロポリタン歌劇場,   歌舞伎座,   カーネギー・ホール,   帝国劇場,   コベント・ガーデン王立歌劇場,   赤坂BLITZ",,"映画館,  劇場,  ホール,  文化施設,  ライブハウス,  複合施設,  ミニシアター,  シネマコンプレックス,  寄席,  演芸場,  芝居小屋",,Theater,"観劇用、鑑賞用の施設の名前。
例えば、劇場やシアターなど。","A name of a theater, where theatrical works or plays are performed.",1,,,
1,6,4,18,,,宗教施設名,"寿福寺,  サン・ドニ修道院,  円教寺,  多度神社,  スルタン・ハッサン・モスク, 
伊勢神宮,   ノートルダム,   東大寺,   二月堂,   セントパトリック教会,   サン・ピエトロ大聖堂,   菊田川神社,   霊山観音微笑殿

六角堂,   三十三間堂,   オリンポス神殿,   イマーム・モスク,   本願寺津村別院","菩提寺(→ ＣＯＮＣＥＰＴ)

シルバークロス（結婚式場内にあるチャペル→施設部分名）","神社,  寺院,  協会,  寺,  大聖堂,  聖堂,  修道院,  摂社,  天満宮,  モスク",,Worship_Place,"宗教に関する祭事を主な目的にした施設の名前。
例えば、神社仏閣、教会、モスクなど。","A name of a place or facility of worship where people come to perform acts of devotion, veneration, or religious study. 
Examples are a church, a temple, a shrine, a mosque, etc.",1,,,
1,6,5,,,交通施設名,,,,,,Transport_Facility,各種交通機関の施設の名前。,A name of a facility used in the transportation system.,,,,
1,6,5,0,,交通施設名,交通施設名＿その他,静岡ヘリポート,,ヘリポート,,Transport_Facility_Other,交通施設のうち、その下位クラスに属さないもの。,A name of a transportation facility (1.6.5 Transport_Facility) that does not belong to any of the other subordinate categories (1.6.5.1 - 1.6.5.6).,,,,
1,6,5,1,,,停車場名,"赤坂一丁目東,   秋保神社前, 砂津バスセンター, 曙町停留場,
三重交通志摩営業所(→ 停車場名およびＦＯＥ＿その他)
",,"駅,  営業所,  バスターミナル,  停留所,  バス停,  路線",,Car_Stop,"車が停車する場所の名前。
例えば、バスなどの自動車が発着するバスターミナル、停留所など。","A name of a designated place where cars stop, such as a bus station or stop.",1,,店舗を伴うPAは停車場名、商業施設名の両方に分類。,
1,6,5,2,,,鉄道駅名,"上野駅,   梅田駅,   グランド・セントラル・ステーション,   前栽駅,   ストックホルム中央駅,   市ヶ谷駅",,"駅,  廃駅,  鉄道駅,  停留場,  貨物駅",,Station,鉄道が発着し、客や貨物の積み下ろしをする駅の名前。,A name of a train or subway station where passengers and cargo are loaded and unloaded. ,1,,,
1,6,5,3,,,空港名,"東京国際空港,  ジョン・エフ・ケネディ国際空港,  オヘア国際空港, 
成田空港,   ＪＦケネディ空港,   ウェストチェスター空港,   関空,   関西国際空港,   大分県央飛行場,   普天間飛行場",砂川ヘリポート（→ 交通施設名＿その他）,"空港,  飛行場,  基地

国際空港,  地方管理空港,  軍用飛行場,  航空基地",,Airport,飛行機が発着し、客や貨物の積み下ろしをする飛行場の名前。,A name of an airport or aerodrome where passengers and cargo are loaded and unloaded. ,1,,,
1,6,5,4,,,港名,"神戸港,  安濃津,  十三湊,  韓泊,  横瀬浦
東京港,   ニューヨーク港,   大輪田泊,   ポート・ディクソン,   新西宮ヨットハーバー,   浦内川船着場,   舞鶴",総合静脈物流拠点港（リサイクルポート → FOE＿その他）,"港湾,  港,  港湾施設,  ヨットハーバー",,Port,海港や船着場など船が出入りする施設の名前。,"A name of a maritime commercial facility such as a port, harbor, wharf or dock.",1,,,
1,6,5,5,,,道路施設名,"クロスタワー駐車場,     ＴＣＡＴ,   京都駅パーキングエリア,   ポートオーソリティ,    渋谷東P
海老名サービスエリア,  道の駅八王子滝山, 東名ジャンクション, 高砂西ランプ,
西宮インターチェンジ
",,"インターチェンジ,  パーキングエリア,  出入口,  ジャンクション,  サービスエリア,  料金所",,Road_Facility,"客や貨物の積み下ろしを目的としない道路施設の名前。
例えば、インターチェンジ、駐車場など。","A name of a road facility or area that is not established for the purpose of loading and unloading passengers or freight.
This includes a parking lot, or a rest area on a highway.",1,,,
1,6,5,6,,,鉄道施設名,"上大平台信号場,  柳川車両基地, 一ノ関運輸区, 西日本旅客鉄道吹田工場",,"信号場,  車両基地,  車両工場,  機関区,  車庫,  操車場,  オフレールステーション",,Railway_Facility,"客や貨物の積み下ろしを目的としない鉄道施設の名前。
例えば、車両基地、信号場など。","A name of a railway facility or area that is not established for the purpose of the purpose of loading and unloading passengers or freight. 
This includes a rail yard, or a signal station",1,,,
1,6,6,,,路線名,,,,,,Line,人が移動する為に用いる路線の名前。 ,A name of a line or route for transportation. ,,,,
1,6,6,0,,路線名,路線名＿その他,"ラスベガス便,   駒ケ岳ロープウェイ,   シルクロード,  
中央ライナー(→ 車名および路線名＿その他), ムーバス(→ 車名および路線名＿その他), 
北区コミュニティバス(→ 車名および路線名＿その他)",北上幹線(送電線 → 施設名＿その他),"コミュニティバス,  高速バス,  バス路線,  自治体バス,  ロープウェイ,  ",,Line_Other,"路線のうち、その下位クラスに属さないもの。 
例えば、航空路や、バス路線、大まかな道のりを指す「シルクロード」など。","A name of a line (1.6.6 Line) that does not belong to any of the other subordinate categories (1.6.6.1 - 1.6.6.6).
Examples are an air route, a bus route, and Silk Road.",1,,,
1,6,6,1,,,道路名,"中国横断自動車道, ブロードウェー,  オペラ座通り,  山辺の道

名神高速道路,   国道２５号,   アウトバーン,   甲州街道,   阪神高速道路,  法善寺横丁,   御堂筋

ロマンチック街道,   伊勢路,   ヨーロッパ国際道路網,   近畿自動車道

 利根川サイクリングロード,   大野川歩行者・自転車専用,   日本陸連公認びわ湖毎日マラソンコース","サンロード(商店街 → 商業施設名)
銀座一丁目交差点（→地名＿その他）,   丸田町ジャンクション（→交通施設名＿その他）","県道,  地方道,  国道,  道路,  通り,  路線,  街道,  幹線道路",,Road,自動車、自転車、人のための道路の名前。 ,"A name of a road, which is a route or way on land improved to allow travel by foot, motor vehicle, bicycle, or horse. ",1,,,
1,6,6,2,,,鉄道路線名,"関西本線,  山口線,  東海道本線,  釧網本線,  宝成線, 
丸の内線,   東海道新幹線,   室蘭本線,   シベリア鉄道,   天理線","地下鉄(→ ＣＯＮＣＥＰＴ)

北上幹線(送電線 → 施設名＿その他)","鉄道路線,  路線,  鉄道線,  交通線,  地下鉄,  軌道路線,  鉄道,  路面電車,  幹線,  貨物船",,Railroad,"鉄道路線の名前。
例えば、電車、地下鉄、モノレールなど。","A name of a train line, subway line, or monorail line.",1,,,
1,6,6,3,,,航路名,"西廻海運,  エンパイア・ルート,  青函航路,  宇高航路,  海の道",,"航路,  連絡船,  渡し船,  フェリー,  遊覧船,  水上バス,  海上輸送",,Water_Route,船が通る道筋の名前。,A name of a route that ships use.,1,,,
1,6,6,4,,,運河名,"スエズ運河,   アムステルダム運河,   カラクム運河,   見沼通船堀,   セント・ローレンス水路, 香川用水",,"運河,  用水路,  水路",,Canal,人工的に陸地を掘ってつくった水路の名前。,A name of an artificial waterway such as a canal.,1,,,
1,6,6,5,,,トンネル名,"アペニン・トンネル,  清水トンネル,  丹那トンネル,  モファット・トンネル, 
青函トンネル,   リンカーン・トンネル,   白糸トンネル,   ユーロトンネル",,トンネル,,Tunnel,トンネルの名前。 通るものは人間でも鉄道でも電車でもよい。,"A name of a tunnel, irrespective of the usage. It may be for foot, for vehicular road traffic, for rail traffic, or for a canal.",1,,,
